2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:91 | get_portfolio_overview() | Error getting portfolio overview: Execution failed on sql 'SELECT * FROM positions': no such table: positions
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:150 | get_performance_data() | Error getting performance data: Execution failed on sql 'SELECT * FROM performance_metrics ORDER BY timestamp ASC': no such table: performance_metrics
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:134 | get_trades_data() | Error getting trades data: Execution failed on sql 'SELECT * FROM trades ORDER BY created_at DESC LIMIT 50': no such table: trades
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:117 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:117 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:134 | get_trades_data() | Error getting trades data: Execution failed on sql 'SELECT * FROM trades ORDER BY created_at DESC LIMIT 100': no such table: trades
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:150 | get_performance_data() | Error getting performance data: Execution failed on sql 'SELECT * FROM performance_metrics ORDER BY timestamp ASC': no such table: performance_metrics
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:117 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-25 23:48:44 | ERROR    | __main__ | dashboard.py:91 | get_portfolio_overview() | Error getting portfolio overview: Execution failed on sql 'SELECT * FROM positions': no such table: positions
