2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:92 | get_portfolio_overview() | Error getting portfolio overview: Execution failed on sql 'SELECT * FROM positions': no such table: positions
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:151 | get_performance_data() | Error getting performance data: Execution failed on sql 'SELECT * FROM performance_metrics ORDER BY timestamp ASC': no such table: performance_metrics
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:135 | get_trades_data() | Error getting trades data: Execution failed on sql 'SELECT * FROM trades ORDER BY created_at DESC LIMIT 50': no such table: trades
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:118 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:118 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:135 | get_trades_data() | Error getting trades data: Execution failed on sql 'SELECT * FROM trades ORDER BY created_at DESC LIMIT 100': no such table: trades
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:151 | get_performance_data() | Error getting performance data: Execution failed on sql 'SELECT * FROM performance_metrics ORDER BY timestamp ASC': no such table: performance_metrics
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:118 | get_positions_data() | Error getting positions data: Execution failed on sql 'SELECT * FROM positions ORDER BY updated_at DESC': no such table: positions
2025-09-26 18:57:11 | ERROR    | __main__ | dashboard.py:92 | get_portfolio_overview() | Error getting portfolio overview: Execution failed on sql 'SELECT * FROM positions': no such table: positions
