symbol,strike_price,expiry_date,option_type,identifier,instrument_token,last_price,change,p_change,volume,oi,iv,oi_day_high,oi_day_low,bid_qty,bid_price,ask_qty,ask_price
NIFTY,19000,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE19000.00,,6000.05,-299.9499999999998,-4.761111111111108,8,39.0,139.07,,,75,5591.6,75,5973.15
NIFTY,19000,30-Sep-2025,PE,OPTIDXNIFTY30-09-2025PE19000.00,,0.6,-0.050000000000000044,-7.692307692307699,9134,1673.0,75.99,,,7800,0.6,13200,0.65
NIFTY,19000,30-Dec-2025,CE,OPTIDXNIFTY30-12-2025CE19000.00,,6271.2,-144.90000000000055,-2.258381259643717,3,140.66666666666666,0.0,,,75,6000.05,0,0.0
NIFTY,19000,30-Dec-2025,PE,OPTIDXNIFTY30-12-2025PE19000.00,,15.75,0.0,0.0,413,4843.0,26.72,,,4575,15.75,1800,16.0
NIFTY,19000,31-Mar-2026,PE,OPTIDXNIFTY31-03-2026PE19000.00,,0.0,0.0,0.0,0,0.0,0.0,,,1875,21.8,0,0.0
NIFTY,19000,30-Jun-2026,PE,OPTIDXNIFTY30-06-2026PE19000.00,,205.7,0.0,0.0,0,3.3333333333333335,0.0,,,300,28.75,0,0.0
NIFTY,19000,29-Dec-2026,CE,OPTIDXNIFTY29-12-2026CE19000.00,,8600.0,0.0,0.0,0,1.6666666666666667,0.0,,,75,7000.0,0,0.0
NIFTY,19000,29-Dec-2026,PE,OPTIDXNIFTY29-12-2026PE19000.00,,102.05,0.0,0.0,0,23.0,0.0,,,300,49.7,0,0.0
NIFTY,19000,29-Jun-2027,PE,OPTIDXNIFTY29-06-2027PE19000.00,,182.1,0.0,0.0,0,8.0,0.0,,,225,73.4,0,0.0
NIFTY,19000,28-Dec-2027,PE,OPTIDXNIFTY28-12-2027PE19000.00,,299.95,0.0,0.0,0,7.0,0.0,,,225,101.4,0,0.0
NIFTY,19000,27-Jun-2028,PE,OPTIDXNIFTY27-06-2028PE19000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,120.3,0,0.0
NIFTY,19000,26-Dec-2028,PE,OPTIDXNIFTY26-12-2028PE19000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,137.85,0,0.0
NIFTY,19000,26-Jun-2029,PE,OPTIDXNIFTY26-06-2029PE19000.00,,0.0,0.0,0.0,0,0.0,0.0,,,150,155.2,0,0.0
NIFTY,19000,24-Dec-2029,PE,OPTIDXNIFTY24-12-2029PE19000.00,,0.0,0.0,0.0,0,0.0,0.0,,,150,164.6,0,0.0
NIFTY,19000,25-Jun-2030,PE,OPTIDXNIFTY25-06-2030PE19000.00,,0.0,0.0,0.0,0,0.0,0.0,,,150,170.9,0,0.0
NIFTY,19500,30-Dec-2025,CE,OPTIDXNIFTY30-12-2025CE19500.00,,5980.0,0.0,0.0,0,15.333333333333334,0.0,,,0,0.0,0,0.0
NIFTY,20000,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE20000.00,,4965.8,-144.44999999999982,-2.8266718849371326,163,880.0,102.04,,,75,4950.0,75,4972.9
NIFTY,20000,30-Sep-2025,PE,OPTIDXNIFTY30-09-2025PE20000.00,,0.7,0.0,0.0,24769,6733.0,63.47,,,34050,0.6,30300,0.7
NIFTY,20000,30-Dec-2025,CE,OPTIDXNIFTY30-12-2025CE20000.00,,5307.2,-141.35000000000036,-2.5942681997962826,657,4466.0,0.0,,,75,5282.5,75,5323.65
NIFTY,20000,30-Dec-2025,PE,OPTIDXNIFTY30-12-2025PE20000.00,,19.4,0.9499999999999993,5.149051490514902,1024,10378.0,23.34,,,150,19.0,600,19.5
NIFTY,20000,31-Mar-2026,PE,OPTIDXNIFTY31-03-2026PE20000.00,,41.0,3.200000000000003,8.465608465608474,82,515.0,20.53,,,75,38.5,75,41.7
NIFTY,20000,30-Jun-2026,PE,OPTIDXNIFTY30-06-2026PE20000.00,,67.9,0.0,0.0,0,4691.0,0.0,,,450,46.45,0,0.0
NIFTY,20000,29-Dec-2026,CE,OPTIDXNIFTY29-12-2026CE20000.00,,0.0,0.0,0.0,0,0.0,0.0,,,75,6000.0,75,6600.0
NIFTY,20000,29-Dec-2026,PE,OPTIDXNIFTY29-12-2026PE20000.00,,147.05,8.050000000000011,5.7913669064748285,27,542.3333333333334,20.72,,,75,148.0,75,151.95
NIFTY,20000,29-Jun-2027,PE,OPTIDXNIFTY29-06-2027PE20000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,134.5,0,0.0
NIFTY,20000,28-Dec-2027,PE,OPTIDXNIFTY28-12-2027PE20000.00,,251.9,0.0,0.0,0,52.666666666666664,0.0,,,150,177.55,0,0.0
NIFTY,20000,27-Jun-2028,PE,OPTIDXNIFTY27-06-2028PE20000.00,,400.0,0.0,0.0,0,0.0,0.0,,,300,199.4,0,0.0
NIFTY,20000,26-Dec-2028,PE,OPTIDXNIFTY26-12-2028PE20000.00,,330.0,0.0,0.0,0,14.666666666666666,0.0,,,150,225.4,0,0.0
NIFTY,20000,26-Jun-2029,PE,OPTIDXNIFTY26-06-2029PE20000.00,,0.0,0.0,0.0,0,0.0,0.0,,,75,238.95,0,0.0
NIFTY,20000,24-Dec-2029,PE,OPTIDXNIFTY24-12-2029PE20000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,241.4,0,0.0
NIFTY,20000,25-Jun-2030,PE,OPTIDXNIFTY25-06-2030PE20000.00,,0.0,0.0,0.0,0,0.0,0.0,,,5400,3.05,0,0.0
NIFTY,21000,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE21000.00,,3971.5,-147.0,-3.569260653150419,727,3770.0,84.65,,,75,3955.55,75,3974.8
NIFTY,21000,30-Sep-2025,PE,OPTIDXNIFTY30-09-2025PE21000.00,,0.7,-0.10000000000000009,-12.50000000000001,21720,11923.0,50.44,,,36825,0.65,16725,0.7
NIFTY,21000,30-Dec-2025,CE,OPTIDXNIFTY30-12-2025CE21000.00,,4324.4,-145.60000000000036,-3.2572706935123126,1430,4537.333333333333,0.0,,,375,4325.4,75,4333.6
NIFTY,21000,30-Dec-2025,PE,OPTIDXNIFTY30-12-2025PE21000.00,,24.9,1.0499999999999972,4.402515723270428,2911,15055.333333333334,20.08,,,225,25.05,1800,25.8
NIFTY,21000,31-Mar-2026,CE,OPTIDXNIFTY31-03-2026CE21000.00,,0.0,0.0,0.0,0,0.0,0.0,,,0,0.0,0,0.0
